city,state_id,state_name
Cannelburg,IN,Indiana
Bienville,LA,Louisiana
Bransford,TN,Tennessee
Alamo Beach,TX,Texas
Oak Shores,CA,California
South Edmeston,NY,New York
Nara Visa,NM,New Mexico
Marion,ND,North Dakota
Bascom,FL,Florida
Broadview,MT,Montana
Lorraine,KS,Kansas
Longville,MN,Minnesota
Drakesville,IA,Iowa
Jacksonville,VT,Vermont
Le Flore,OK,Oklahoma
Norge,OK,Oklahoma
Hunter,OK,Oklahoma
Steptoe,WA,Washington
Jamestown,NM,New Mexico
Hannasville,PA,Pennsylvania
Bellingham,MN,Minnesota
Sidney,AR,Arkansas
Minnesota City,MN,Minnesota
McKeansburg,PA,Pennsylvania
North Westminster,VT,Vermont
Holliday,MO,Missouri
Columbia,NJ,New Jersey
Quinwood,WV,West Virginia
Askewville,NC,North Carolina
Kamaili,HI,Hawaii
Celeryville,OH,Ohio
Cumberland-Hesstown,NJ,New Jersey
Stonewall,NC,North Carolina
Spray,OR,Oregon
Port Lions,AK,Alaska
Breckenridge,OK,Oklahoma
Garrison,MN,Minnesota
Capron,VA,Virginia
La Clede,IL,Illinois
Meadowlands,MN,Minnesota
Tollette,AR,Arkansas
Idaville,PA,Pennsylvania
Westphalia,IA,Iowa
Templeville,MD,Maryland
Elida,NM,New Mexico
Zap,ND,North Dakota
May,TX,Texas
Hickory Corners,MI,Michigan
Longview,MS,Mississippi
Tampa,KS,Kansas
Newtonville,IN,Indiana
Burlington Flats,NY,New York
King William,VA,Virginia
Metcalf,IL,Illinois
Falun,KS,Kansas
Mound Station,IL,Illinois
Salvisa,KY,Kentucky
Organ,NM,New Mexico
Belfry,KY,Kentucky
Lamont,WA,Washington
Lodge,SC,South Carolina
Candlewood Knolls,CT,Connecticut
Utica,PA,Pennsylvania
Economy,IN,Indiana
Grayson,OK,Oklahoma
Blue Mountain,AR,Arkansas
Altamont,MO,Missouri
Medora,ND,North Dakota
Martinsburg,IN,Indiana
Rexford,KS,Kansas
Pulcifer,WI,Wisconsin
Torreon,NM,New Mexico
Adams,ND,North Dakota
Orchard Hill,GA,Georgia
Ogden,AR,Arkansas
Bristow Cove,AL,Alabama
New Burnside,IL,Illinois
North Bay,NY,New York
Damar,KS,Kansas
Elbert,CO,Colorado
Graham,MO,Missouri
Marathon,OH,Ohio
Maxville,MT,Montana
Navarino,WI,Wisconsin
Chula,MO,Missouri
Albany,OK,Oklahoma
Moclips,WA,Washington
Butler,TN,Tennessee
Jefferson,NY,New York
Simpson,KS,Kansas
Sparks,OK,Oklahoma
Segundo,CO,Colorado
Creston,NE,Nebraska
Butlerville,IN,Indiana
Webster,IN,Indiana
Rudy,AR,Arkansas
Grenola,KS,Kansas
Ophiem,IL,Illinois
Boaz,WI,Wisconsin
Kell,IL,Illinois
Bellville,GA,Georgia
Layton,FL,Florida
Greenfield,OK,Oklahoma
Melbeta,NE,Nebraska
Perkins,MO,Missouri
Hopewell,PA,Pennsylvania
Keensburg,IL,Illinois
Pinos Altos,NM,New Mexico
Homestead,IA,Iowa
Gilson,IL,Illinois
Ludlow Falls,OH,Ohio
Bald Head Island,NC,North Carolina
El Rancho,CA,California
Fall River,KS,Kansas
Falling Spring,WV,West Virginia
Proctor,TX,Texas
Henderson,MD,Maryland
Daniel,WY,Wyoming
Lake Lillian,MN,Minnesota
Smoaks,SC,South Carolina
Ali Molina,AZ,Arizona
Smithland,IA,Iowa
Riverton,MN,Minnesota
Crestline,KS,Kansas
Wopsononock,PA,Pennsylvania
Woodburn,IA,Iowa
Banner,IL,Illinois
Days Creek,OR,Oregon
Panorama Park,IA,Iowa
Garvin,OK,Oklahoma
Amberg,WI,Wisconsin
Clements,MN,Minnesota
Emerald,WI,Wisconsin
Magnolia,IA,Iowa
Crystal Bay,NV,Nevada
Jeddo,PA,Pennsylvania
Brookeville,MD,Maryland
Virginia City,MT,Montana
Circleville,KS,Kansas
Chical,NM,New Mexico
Clyattville,GA,Georgia
Binford,ND,North Dakota
Big Bow,KS,Kansas
Reydon,OK,Oklahoma
Carbon Hill,OH,Ohio
Gattman,MS,Mississippi
Goofy Ridge,IL,Illinois
Summit Station,PA,Pennsylvania
Clark,MO,Missouri
La Fayette,IL,Illinois
Stockett,MT,Montana
Adair,IL,Illinois
Corn Creek,SD,South Dakota
Claremont,IL,Illinois
Denton,NE,Nebraska
Milwaukee,NC,North Carolina
Spivey,KS,Kansas
Fairfield,UT,Utah
Deer,AR,Arkansas
Federal Dam,MN,Minnesota
Hollis,AK,Alaska
Hillview,IL,Illinois
Justice Addition,WV,West Virginia
Cantrall,IL,Illinois
Willow,OK,Oklahoma
Belmont,LA,Louisiana
Waves,NC,North Carolina
Hillsboro,VA,Virginia
Round Mountain,CA,California
Spurgeon,IN,Indiana
Dry Creek,AK,Alaska
Webb,IA,Iowa
Morrowville,KS,Kansas
Wildrose,ND,North Dakota
Worthville,KY,Kentucky
Ulen,IN,Indiana
Commerce,MO,Missouri
Oceola,OH,Ohio
Whitingham,VT,Vermont
Frenchville,PA,Pennsylvania
Skene,MS,Mississippi
Bobo,MS,Mississippi
Glasgow,IL,Illinois
Kaltag,AK,Alaska
Nadine,NM,New Mexico
Braman,OK,Oklahoma
Woodland,MS,Mississippi
Chapin,IA,Iowa
Gilman,VT,Vermont
Foss,OK,Oklahoma
Truesdale,IA,Iowa
Murtaugh,ID,Idaho
Blomkest,MN,Minnesota
Canalou,MO,Missouri
Freeburn,KY,Kentucky
Teresita,OK,Oklahoma
Happys Inn,MT,Montana
Jersey,GA,Georgia
Hindsville,AR,Arkansas
Sand Coulee,MT,Montana
Grafton,NE,Nebraska
Kamrar,IA,Iowa
Honor,MI,Michigan
Syracuse,MO,Missouri
Lane,IL,Illinois
Haleburg,AL,Alabama
Leadore,ID,Idaho
Quicksburg,VA,Virginia
Mitchellville,TN,Tennessee
Amsterdam,MT,Montana
Crook,CO,Colorado
St. Lawrence,SD,South Dakota
Appleton,AR,Arkansas
Rye,CO,Colorado
St. George,WV,West Virginia
Scotts,MI,Michigan
Ithaca,NE,Nebraska
McClelland,IA,Iowa
Interlaken,UT,Utah
Maquon,IL,Illinois
Hobson,MT,Montana
Fort Dodge,KS,Kansas
White Oak,NC,North Carolina
Atkinson Mills,PA,Pennsylvania
Pottersville,NY,New York
Madison,MD,Maryland
Hallsboro,NC,North Carolina
Avon,MT,Montana
Lena,MS,Mississippi
Singers Glen,VA,Virginia
Redmon,IL,Illinois
Freedom Acres,AZ,Arizona
Clearmont,MO,Missouri
Muncie,IL,Illinois
Ophir,CO,Colorado
Colburn,IN,Indiana
Hustler,WI,Wisconsin
Haverhill,IA,Iowa
Hickory Hill,KY,Kentucky
Republic,KS,Kansas
Kenton Vale,KY,Kentucky
Yellow Bluff,AL,Alabama
Archer,IA,Iowa
Barrytown,NY,New York
Osterdock,IA,Iowa
Monterey Park Tract,CA,California
New Grand Chain,IL,Illinois
Bluewater,CA,California
Taylor,NE,Nebraska
Mellette,SD,South Dakota
Brice,OH,Ohio
Garrattsville,NY,New York
Canton,IN,Indiana
Eareckson Station,AK,Alaska
Crestview,NM,New Mexico
McCord Bend,MO,Missouri
Shevlin,MN,Minnesota
Waterville,IA,Iowa
Pace,MS,Mississippi
Crum,WV,West Virginia
Slick,OK,Oklahoma
Leshara,NE,Nebraska
Mentor,MN,Minnesota
Long Island,KS,Kansas
Sierra Village,CA,California
Huntington Center,VT,Vermont
Knox City,MO,Missouri
Iron Belt,WI,Wisconsin
Hanover,WI,Wisconsin
Leonore,IL,Illinois
Morland,KS,Kansas
Tina,MO,Missouri
Wyeville,WI,Wisconsin
Fairfax,SD,South Dakota
Burkittsville,MD,Maryland
Springport,IN,Indiana
Kino Springs,AZ,Arizona
Blakeslee,OH,Ohio
Bridgewater,CT,Connecticut
Booneville,KY,Kentucky
Lockwood,CA,California
Denton,MO,Missouri
Mier,IN,Indiana
Stone Creek,OH,Ohio
Forksville,PA,Pennsylvania
Mound,TX,Texas
Forestville,MI,Michigan
Fishersburg,IN,Indiana
Loving,TX,Texas
Rulo,NE,Nebraska
Bearden,OK,Oklahoma
Frankfort,SD,South Dakota
Fort Yates,ND,North Dakota
Big Arm,MT,Montana
Elderon,WI,Wisconsin
Laurel Mountain,PA,Pennsylvania
Foley,MO,Missouri
North Escobares,TX,Texas
Castalia,IA,Iowa
Blue Sky,CO,Colorado
Hunnewell,MO,Missouri
Hickory,OK,Oklahoma
Marengo,WI,Wisconsin
Reightown,PA,Pennsylvania
Boston,PA,Pennsylvania
Greenville,OK,Oklahoma
Kings Valley,OR,Oregon
Lynndyl,UT,Utah
Emhouse,TX,Texas
Chester,IA,Iowa
Lequire,OK,Oklahoma
Tacoma,VA,Virginia
Deep Creek,VA,Virginia
East Burke,VT,Vermont
Sutherland,UT,Utah
Powellsville,NC,North Carolina
Wilton Center,IL,Illinois
Pleasant Plain,OH,Ohio
Hennepin,OK,Oklahoma
Shopiere,WI,Wisconsin
Chelan Falls,WA,Washington
Guthrie,TX,Texas
Miller City,OH,Ohio
Concord,IL,Illinois
Fortescue,NJ,New Jersey
Oakland,AR,Arkansas
Fairmont,OK,Oklahoma
Louann,AR,Arkansas
Ashland,LA,Louisiana
Little River,CA,California
Adak,AK,Alaska
Galisteo,NM,New Mexico
Tilden,TX,Texas
Whispering Pines,AZ,Arizona
Geddes,SD,South Dakota
Dola,OH,Ohio
Rohrersville,MD,Maryland
Clintondale,PA,Pennsylvania
Cearfoss,MD,Maryland
Driftwood,TX,Texas
Forada,MN,Minnesota
Canova,SD,South Dakota
Barnes City,IA,Iowa
Adrian,TX,Texas
Sprague,NE,Nebraska
Antares,AZ,Arizona
Buffalo Gap,SD,South Dakota
Reed,AR,Arkansas
Solon Mills,IL,Illinois
Prairieburg,IA,Iowa
Taunton,MN,Minnesota
Luzerne,IA,Iowa
Cowlington,OK,Oklahoma
Reeves,LA,Louisiana
Brooks,MN,Minnesota
Keyes,OK,Oklahoma
Lisbon,MD,Maryland
Kinross,IA,Iowa
Rochelle,TX,Texas
Nilwood,IL,Illinois
Pyatt,AR,Arkansas
Matlock,IA,Iowa
Duneland Beach,IN,Indiana
Bendena,KS,Kansas
Gough,GA,Georgia
Encantado,NM,New Mexico
Saddle Butte,MT,Montana
Hunter,AR,Arkansas
St. Joe,AR,Arkansas
Woodford,SC,South Carolina
Bradley,OK,Oklahoma
Neosho Falls,KS,Kansas
Gann,OH,Ohio
Forest River,ND,North Dakota
Catlett,VA,Virginia
Nardin,OK,Oklahoma
Equality,AL,Alabama
Stanley,LA,Louisiana
Craig,NE,Nebraska
Pierson,MI,Michigan
Darling,MS,Mississippi
Leota,MN,Minnesota
Elkton,OR,Oregon
Du Bois,IL,Illinois
Baylis,IL,Illinois
Redford,TX,Texas
Montrose,MS,Mississippi
Cherokee,CA,California
Tolna,ND,North Dakota
Noonan,ND,North Dakota
La Joya,NM,New Mexico
Atqasuk,AK,Alaska
Welton,IA,Iowa
Melrose,IA,Iowa
Woods Landing-Jelm,WY,Wyoming
Arcola,IN,Indiana
Cove Forge,PA,Pennsylvania
Pence,WI,Wisconsin
Free Soil,MI,Michigan
Stella,NE,Nebraska
Terlingua,TX,Texas
Greenwater,WA,Washington
Palmer,KS,Kansas
Seconsett Island,MA,Massachusetts
Mill Shoals,IL,Illinois
Dixie,GA,Georgia
Winchester,AR,Arkansas
Norman,NC,North Carolina
Dumont,MN,Minnesota
Harding,MN,Minnesota
Wildersville,TN,Tennessee
Meadow Acres,WY,Wyoming
Black Springs,AR,Arkansas
Stendal,IN,Indiana
Beverly,KS,Kansas
Fernan Lake Village,ID,Idaho
Still Pond,MD,Maryland
Muscotah,KS,Kansas
East Nicolaus,CA,California
Theodosia,MO,Missouri
Mount Croghan,SC,South Carolina
Olancha,CA,California
Laurel Lake,PA,Pennsylvania
Hypericum,CA,California
Short,OK,Oklahoma
Coal City,IN,Indiana
Lexington,OR,Oregon
Briartown,OK,Oklahoma
Garrison,MT,Montana
Gilmanton,WI,Wisconsin
Worton,MD,Maryland
Dekorra,WI,Wisconsin
Nash,OK,Oklahoma
Strasburg,MO,Missouri
Aneta,ND,North Dakota
Borup,MN,Minnesota
Grandin,ND,North Dakota
Farmers,KY,Kentucky
Lucas,IA,Iowa
Otterville,IL,Illinois
Fountaintown,IN,Indiana
Reeder,ND,North Dakota
Blockton,IA,Iowa
Encino,TX,Texas
Mettler,CA,California
Marietta,IN,Indiana
Jerusalem,OH,Ohio
Rowena,SD,South Dakota
Schnellville,IN,Indiana
Brownville,NE,Nebraska
Hemlock,IN,Indiana
Lingleville,TX,Texas
Mosquito Lake,AK,Alaska
Francestown,NH,New Hampshire
Bromide,OK,Oklahoma
Ora,IN,Indiana
Sombrillo,NM,New Mexico
White Cloud,KS,Kansas
Portal,ND,North Dakota
Downsville,LA,Louisiana
Bethesda,AR,Arkansas
Ames,NY,New York
Hoodsport,WA,Washington
Chain-O-Lakes,MO,Missouri
Epping,ND,North Dakota
Tryon,NE,Nebraska
Palmersville,TN,Tennessee
Bovill,ID,Idaho
Millersburg,IA,Iowa
Hibernia,NJ,New Jersey
Freedom,OK,Oklahoma
Brussels,IL,Illinois
Marydel,MD,Maryland
Wallace,IN,Indiana
Sail Harbor,CT,Connecticut
Wolverton,MN,Minnesota
Farmington,WA,Washington
Porcupine,ND,North Dakota
Clifton,OH,Ohio
Huslia,AK,Alaska
Moskowite Corner,CA,California
Clearville,PA,Pennsylvania
Springbrook,IA,Iowa
Uniontown,AR,Arkansas
Deepstep,GA,Georgia
Webster,IA,Iowa
Beason,IL,Illinois
Urie,WY,Wyoming
San Jon,NM,New Mexico
Centerville,NC,North Carolina
Sedalia,KY,Kentucky
Leeper,PA,Pennsylvania
Eagle Creek,PA,Pennsylvania
Kickapoo Tribal Center,KS,Kansas
Hamburg,IL,Illinois
Crowheart,WY,Wyoming
Walnut Hill,IL,Illinois
East Columbia,TX,Texas
Franklin,IA,Iowa
East Charlotte,VT,Vermont
Slickville,PA,Pennsylvania
Curlew,WA,Washington
Elk Falls,KS,Kansas
Omar,WV,West Virginia
Caney City,TX,Texas
Logan,MT,Montana
Hills and Dales,KY,Kentucky
Sharon,OK,Oklahoma
Wheeling,MO,Missouri
Ferris,IL,Illinois
Miller,NE,Nebraska
Galloway,WV,West Virginia
Copper Harbor,MI,Michigan
Ludlow,MO,Missouri
Goree,TX,Texas
Kline,SC,South Carolina
Fenwood,WI,Wisconsin
Alvordton,OH,Ohio
Swanton,NE,Nebraska
McFall,MO,Missouri
Ryder,ND,North Dakota
Hettick,IL,Illinois
Palisade,MN,Minnesota
Rockingham,GA,Georgia
Volin,SD,South Dakota
Drowning Creek,OK,Oklahoma
Louisburg,MO,Missouri
Mount Vision,NY,New York
Wheeler,IN,Indiana
